Binomial name,Motility,Gram staining,Aerophilicity,Extreme environment tolerance,Biofilm formation,Animal pathogenicity,Biosafety level,Health association,Host association,Plant pathogenicity,Spore formation,Hemolysis,Cell shape
Streptomyces fragilis,,gram stain positive,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,TRUE,,bacillus
Streptomyces griseorubiginosus,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,FALSE,biosafety level 2,TRUE,FALSE,FALSE,FALSE,,bacillus
Streptomyces kurssanovii,,gram stain positive,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Streptomyces lateritius,,gram stain positive,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,TRUE,,bacillus
Streptomyces litmocidini,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,FALSE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Streptomyces malachitofuscus,,gram stain positive,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Streptomyces matensis,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,FALSE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Streptomyces melanogenes,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Streptomyces mutabilis,,gram stain positive,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,TRUE,,bacillus
Streptomyces narbonensis,,gram stain positive,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,TRUE,,bacillus
Streptomyces pseudovenezuelae,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,FALSE,biosafety level 2,TRUE,FALSE,FALSE,FALSE,,bacillus
Comamonas terrae,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,FALSE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Streptomyces resistomycificus,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,FALSE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Streptomyces rubiginosohelvolus,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Streptomyces sindenensis,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,FALSE,biosafety level 2,TRUE,FALSE,FALSE,FALSE,,bacillus
Streptomyces tanashiensis,,gram stain positive,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,TRUE,,bacillus
Streptomyces violarus,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,FALSE,biosafety level 2,TRUE,FALSE,FALSE,FALSE,,bacillus
Streptomyces violascens,,gram stain positive,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,TRUE,,bacillus
Streptomyces xanthochromogenes,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Streptomyces yokosukanensis,,gram stain positive,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,TRUE,,bacillus
Streptomyces viridosporus,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,FALSE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Citrobacter werkmanii,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,FALSE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Citrobacter gillenii,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,FALSE,biosafety level 2,TRUE,FALSE,FALSE,FALSE,,bacillus
Citrobacter murliniae,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,FALSE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Streptomyces alanosinicus,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Kitasatospora albolonga,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Streptomyces anthocyanicus,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,FALSE,biosafety level 2,TRUE,FALSE,FALSE,FALSE,,bacillus
Streptomyces chryseus,,gram stain positive,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
Streptomyces clavifer,,gram stain negative,"aerobic, facultatively anaerobic",FALSE,TRUE,TRUE,biosafety level 2,TRUE,TRUE,FALSE,FALSE,,bacillus
