Binomial.name;NCBI_ID;Motility;Gram.staining;Aerophilicity;Extreme.environment.tolerance;Biofilm.formation;Animal.pathogenicity;Biosafety.level;Health.association;Host.association;Plant.pathogenicity;Spore.formation;Hemolysis;Cell.shape;Member.of.WA.subset;Superkingdom;Phylum;Class;Order;Family;Genus;Species;FTP.path;Fasta.file;Gff.file;Gene_file;Gene_location
Kosakonia oryziphila;1005667;TRUE;gram stain negative;aerobic;FALSE;NA;NA;biosafety level 1;NA;TRUE;NA;FALSE;NA;bacillus;TRUE;Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Kosakonia;Kosakonia oryziphila;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/094/795/GCA_900094795.1_IMG-taxon_2616644846_annotated_assembly;GCA_900094795.1_IMG-taxon_2616644846_annotated_assembly_genomic.fasta;GCA_900094795.1_IMG-taxon_2616644846_annotated_assembly_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_900094795.1_IMG-taxon_2616644846_annotated_assembly_genomic.txt
Pseudomonas kuykendallii;1007099;TRUE;gram stain negative;aerobic;FALSE;NA;NA;biosafety level 1;NA;FALSE;FALSE;FALSE;NA;bacillus;TRUE;Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas kuykendallii;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/106/975/GCA_900106975.1_IMG-taxon_2671180037_annotated_assembly;GCA_900106975.1_IMG-taxon_2671180037_annotated_assembly_genomic.fasta;GCA_900106975.1_IMG-taxon_2671180037_annotated_assembly_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_900106975.1_IMG-taxon_2671180037_annotated_assembly_genomic.txt
Pseudomonas alcaliphila;101564;TRUE;gram stain negative;aerobic;TRUE;NA;FALSE;biosafety level 1;NA;FALSE;FALSE;FALSE;NA;bacillus;TRUE;Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas alcaliphila;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/101/755/GCA_900101755.1_IMG-taxon_2663762780_annotated_assembly;GCA_900101755.1_IMG-taxon_2663762780_annotated_assembly_genomic.fasta;GCA_900101755.1_IMG-taxon_2663762780_annotated_assembly_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_900101755.1_IMG-taxon_2663762780_annotated_assembly_genomic.txt
Burkholderia ubonensis;101571;TRUE;gram stain negative;aerobic;FALSE;NA;NA;biosafety level 1;NA;FALSE;TRUE;FALSE;gamma;bacillus;TRUE;Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;Burkholderia ubonensis;ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/718/655/GCF_001718655.1_ASM171865v1;GCF_001718655.1_ASM171865v1_genomic.fasta;GCF_001718655.1_ASM171865v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCF_001718655.1_ASM171865v1_genomic.txt
Proteus penneri;102862;TRUE;gram stain negative;aerobic;FALSE;TRUE;FALSE;biosafety level 2;NA;TRUE;FALSE;FALSE;NA;bacillus;TRUE;Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Morganellaceae;Proteus;Proteus penneri;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/369/495/GCA_022369495.1_ASM2236949v1;GCA_022369495.1_ASM2236949v1_genomic.fasta;GCA_022369495.1_ASM2236949v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_022369495.1_ASM2236949v1_genomic.txt
Streptomyces ipomoeae;103232;FALSE;gram stain positive;aerobic;FALSE;NA;FALSE;biosafety level 1;NA;FALSE;TRUE;TRUE;NA;tail;TRUE;Bacteria;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;Streptomyces ipomoeae;ftp.ncbi.nlm.nih.gov/genomes/all/GCF/006/547/165/GCF_006547165.1_ASM654716v1;GCF_006547165.1_ASM654716v1_genomic.fasta;GCF_006547165.1_ASM654716v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCF_006547165.1_ASM654716v1_genomic.txt
Brevibacterium senegalense;1033736;FALSE;gram stain positive;aerobic;FALSE;NA;NA;biosafety level 1;NA;NA;FALSE;FALSE;NA;bacillus;TRUE;Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Brevibacteriaceae;Brevibacterium;Brevibacterium senegalense;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/285/835/GCA_000285835.2_ASM28583v2;GCA_000285835.2_ASM28583v2_genomic.fasta;GCA_000285835.2_ASM28583v2_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_000285835.2_ASM28583v2_genomic.txt
Aminobacter anthyllidis;1035067;TRUE;gram stain negative;aerobic;FALSE;NA;NA;biosafety level 1;NA;NA;FALSE;FALSE;NA;bacillus;TRUE;Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Phyllobacteriaceae;Aminobacter;Aminobacter anthyllidis;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/555/685/GCA_018555685.1_ASM1855568v1;GCA_018555685.1_ASM1855568v1_genomic.fasta;GCA_018555685.1_ASM1855568v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_018555685.1_ASM1855568v1_genomic.txt
Methanosarcina spelaei;1036679;FALSE;NA;anaerobic;FALSE;NA;FALSE;biosafety level 1;NA;FALSE;FALSE;NA;NA;coccus;TRUE;Archaea;Euryarchaeota;Methanomicrobia;Methanosarcinales;Methanosarcinaceae;Methanosarcina;Methanosarcina spelaei;ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/287/235/GCF_002287235.1_ASM228723v1;GCF_002287235.1_ASM228723v1_genomic.fasta;GCF_002287235.1_ASM228723v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCF_002287235.1_ASM228723v1_genomic.txt
Kutzneria kofuensis;103725;FALSE;gram stain positive;aerobic;FALSE;NA;NA;biosafety level 1;NA;NA;FALSE;TRUE;NA;bacillus;TRUE;Bacteria;Actinomycetota;Actinomycetes;Pseudonocardiales;Pseudonocardiaceae;Kutzneria;Kutzneria kofuensis;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/203/355/GCA_014203355.1_ASM1420335v1;GCA_014203355.1_ASM1420335v1_genomic.fasta;GCA_014203355.1_ASM1420335v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_014203355.1_ASM1420335v1_genomic.txt
Actinokineospora globicatena;103729;TRUE;gram stain positive;aerobic;FALSE;NA;NA;biosafety level 1;NA;NA;FALSE;FALSE;NA;bacillus;TRUE;Bacteria;Actinomycetota;Actinomycetes;Pseudonocardiales;Pseudonocardiaceae;Actinokineospora;Actinokineospora globicatena;ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/268/905/GCF_030268905.1_ASM3026890v1;GCF_030268905.1_ASM3026890v1_genomic.fasta;GCF_030268905.1_ASM3026890v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCF_030268905.1_ASM3026890v1_genomic.txt
Rhodococcus pyridinivorans;103816;FALSE;gram stain positive;aerobic;TRUE;NA;FALSE;biosafety level 1;NA;FALSE;FALSE;FALSE;NA;bacillus;TRUE;Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Nocardiaceae;Rhodococcus;Rhodococcus pyridinivorans;ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/288/095/GCF_003288095.1_ASM328809v1;GCF_003288095.1_ASM328809v1_genomic.fasta;GCF_003288095.1_ASM328809v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCF_003288095.1_ASM328809v1_genomic.txt
Nonomuraea turkmeniaca;103838;FALSE;gram stain positive;aerobic;FALSE;NA;NA;biosafety level 1;NA;NA;FALSE;TRUE;NA;bacillus;TRUE;Bacteria;Actinomycetota;Actinomycetes;Streptosporangiales;Streptosporangiaceae;Nonomuraea;Nonomuraea turkmeniaca;ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/889/735/GCF_005889735.1_ASM588973v1;GCF_005889735.1_ASM588973v1_genomic.fasta;GCF_005889735.1_ASM588973v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCF_005889735.1_ASM588973v1_genomic.txt
Bradyrhizobium murdochi;1038859;TRUE;gram stain negative;aerobic;FALSE;NA;FALSE;biosafety level 1;NA;NA;FALSE;FALSE;NA;bacillus;TRUE;Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;Bradyrhizobium murdochi;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/472/965/GCA_000472965.1_ASM47296v1;GCA_000472965.1_ASM47296v1_genomic.fasta;GCA_000472965.1_ASM47296v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_000472965.1_ASM47296v1_genomic.txt
Streptomyces zagrosensis;1042984;FALSE;gram stain positive;aerobic;FALSE;NA;NA;biosafety level 1;NA;FALSE;FALSE;TRUE;NA;tail;TRUE;Bacteria;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;Streptomyces zagrosensis;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/203/645/GCA_014203645.1_ASM1420364v1;GCA_014203645.1_ASM1420364v1_genomic.fasta;GCA_014203645.1_ASM1420364v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_014203645.1_ASM1420364v1_genomic.txt
Limosilactobacillus frumenti;104955;FALSE;gram stain positive;anaerobic;FALSE;NA;FALSE;biosafety level 1;NA;NA;FALSE;FALSE;NA;NA;TRUE;Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus;Limosilactobacillus frumenti;ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/876/665/GCF_008876665.1_ASM887666v1;GCF_008876665.1_ASM887666v1_genomic.fasta;GCF_008876665.1_ASM887666v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCF_008876665.1_ASM887666v1_genomic.txt
Salinispora oceanensis;1050199;FALSE;gram stain positive;aerobic;FALSE;NA;FALSE;biosafety level 1;NA;FALSE;FALSE;TRUE;NA;NA;TRUE;Bacteria;Actinomycetota;Actinomycetes;Micromonosporales;Micromonosporaceae;Salinispora;Salinispora oceanensis;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/383/575/GCA_000383575.1_ASM38357v1;GCA_000383575.1_ASM38357v1_genomic.fasta;GCA_000383575.1_ASM38357v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_000383575.1_ASM38357v1_genomic.txt
Clostridium punense;1054297;TRUE;gram stain positive;anaerobic;FALSE;NA;NA;biosafety level 1;NA;NA;FALSE;TRUE;NA;bacillus;TRUE;Bacteria;Bacillota;Clostridia;Eubacteriales;Clostridiaceae;Clostridium;Clostridium punense;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/017/874/425/GCA_017874425.1_ASM1787442v1;GCA_017874425.1_ASM1787442v1_genomic.fasta;GCA_017874425.1_ASM1787442v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_017874425.1_ASM1787442v1_genomic.txt
Pseudomonas karstica;1055468;TRUE;gram stain negative;aerobic;FALSE;NA;NA;biosafety level 1;NA;FALSE;NA;FALSE;NA;bacillus;TRUE;Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas karstica;ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/707/515/GCF_009707515.1_ASM970751v1;GCF_009707515.1_ASM970751v1_genomic.fasta;GCF_009707515.1_ASM970751v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCF_009707515.1_ASM970751v1_genomic.txt
Aeromonas bestiarum;105751;TRUE;gram stain negative;aerobic;FALSE;NA;TRUE;biosafety level 1;NA;NA;FALSE;FALSE;gamma;bacillus;TRUE;Bacteria;Pseudomonadota;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas;Aeromonas bestiarum;ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/751/155/GCF_028751155.1_ASM2875115v1;GCF_028751155.1_ASM2875115v1_genomic.fasta;GCF_028751155.1_ASM2875115v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCF_028751155.1_ASM2875115v1_genomic.txt
Frankia casuarinae;106370;FALSE;gram stain positive;aerobic;FALSE;NA;NA;biosafety level 1;NA;TRUE;FALSE;TRUE;NA;NA;TRUE;Bacteria;Actinomycetota;Actinomycetes;Frankiales;Frankiaceae;Frankia;Frankia casuarinae;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/345/GCA_000013345.1_ASM1334v1;GCA_000013345.1_ASM1334v1_genomic.fasta;GCA_000013345.1_ASM1334v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_000013345.1_ASM1334v1_genomic.txt
Ensifer adhaerens;106592;TRUE;gram stain negative;aerobic;FALSE;NA;NA;biosafety level 1;NA;FALSE;FALSE;FALSE;NA;bacillus;TRUE;Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Ensifer;Ensifer adhaerens;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/697/965/GCA_000697965.2_ASM69796v2;GCA_000697965.2_ASM69796v2_genomic.fasta;GCA_000697965.2_ASM69796v2_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_000697965.2_ASM69796v2_genomic.txt
Rickettsia asembonensis;1068590;FALSE;gram stain negative;aerobic;FALSE;NA;TRUE;NA;NA;TRUE;FALSE;FALSE;NA;bacillus;TRUE;Bacteria;Pseudomonadota;Alphaproteobacteria;Rickettsiales;Rickettsiaceae;Rickettsia;Rickettsia asembonensis;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/828/125/GCA_000828125.2_ASM82812v2;GCA_000828125.2_ASM82812v2_genomic.fasta;GCA_000828125.2_ASM82812v2_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_000828125.2_ASM82812v2_genomic.txt
Rhodopseudomonas palustris;1076;TRUE;gram stain negative;aerobic;FALSE;TRUE;FALSE;biosafety level 1;NA;FALSE;FALSE;FALSE;NA;bacillus;TRUE;Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Rhodopseudomonas;Rhodopseudomonas palustris;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/584/445/GCA_016584445.1_ASM1658444v1;GCA_016584445.1_ASM1658444v1_genomic.fasta;GCA_016584445.1_ASM1658444v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_016584445.1_ASM1658444v1_genomic.txt
Pantoea rwandensis;1076550;TRUE;gram stain negative;NA;FALSE;NA;NA;biosafety level 1;NA;TRUE;TRUE;FALSE;NA;bacillus;TRUE;Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea;Pantoea rwandensis;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/759/475/GCA_000759475.1_ASM75947v1;GCA_000759475.1_ASM75947v1_genomic.fasta;GCA_000759475.1_ASM75947v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_000759475.1_ASM75947v1_genomic.txt
Pseudomonas zeshuii;1076620;FALSE;gram stain negative;aerobic;FALSE;NA;TRUE;biosafety level 1;NA;FALSE;FALSE;FALSE;NA;bacillus;TRUE;Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas zeshuii;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/141/925/GCA_900141925.1_IMG-taxon_2663762797_annotated_assembly;GCA_900141925.1_IMG-taxon_2663762797_annotated_assembly_genomic.fasta;GCA_900141925.1_IMG-taxon_2663762797_annotated_assembly_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_900141925.1_IMG-taxon_2663762797_annotated_assembly_genomic.txt
Rhizobium laguerreae;1076926;FALSE;gram stain positive;aerobic;NA;NA;NA;biosafety level 1;NA;FALSE;FALSE;FALSE;NA;bacillus;TRUE;Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Rhizobium;Rhizobium laguerreae;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/052/325/GCA_021052325.1_ASM2105232v1;GCA_021052325.1_ASM2105232v1_genomic.fasta;GCA_021052325.1_ASM2105232v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_021052325.1_ASM2105232v1_genomic.txt
Streptomyces muensis;1077944;FALSE;gram stain positive;aerobic;FALSE;NA;FALSE;biosafety level 1;NA;FALSE;FALSE;TRUE;NA;tail;TRUE;Bacteria;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;Streptomyces muensis;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/474/425/GCA_021474425.1_ASM2147442v1;GCA_021474425.1_ASM2147442v1_genomic.fasta;GCA_021474425.1_ASM2147442v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_021474425.1_ASM2147442v1_genomic.txt
